"dataset_name","n_rows","n_analyses","sd_imputed_rows","invalid_binary_rows","invalid_cont_rows","analyses_sparse","analyses_double_zero","analyses_with_cc","analyses_with_glmm"
"CD000028_pub4_data",163,13,0,0,0,5,2,4,5
"CD000143_pub2_data",80,8,0,0,5,2,0,2,1
"CD000219_pub5_data",71,6,0,0,0,2,1,2,2
"CD000478_pub5_data",42,4,0,0,0,4,2,4,3
"CD000547_pub3_data",282,12,83,0,0,12,10,12,9
"CD001072_pub2_data",3,3,0,0,3,0,0,0,0
"CD001155_pub3_data",977,10,181,0,1,9,9,9,3
"CD001321_pub7_data",155,5,0,0,0,5,3,5,4
"CD001396_pub4_data",387,20,3,0,0,19,6,19,17
"CD001431_pub6_data",1479,6,627,0,0,6,6,6,0
"CD001533_pub7_data",217,7,122,0,1,5,5,5,2
"CD001552_pub3_data",78,11,23,0,1,10,9,10,10
"CD001703_pub4_data",119,27,0,0,0,15,15,15,15
"CD001797_pub4_data",44,10,15,1,0,10,8,10,10
"CD001837_pub4_data",144,4,0,0,0,0,0,1,0
"CD001909_pub4_data",133,7,0,0,0,5,4,5,4
"CD001920_pub4_data",1427,11,22,1,1,10,10,10,3
"CD002042_pub6_data",912,80,0,23,7,53,36,61,48
"CD002052_pub4_data",37,12,3,0,4,8,6,8,8
"CD002112_pub2_data",233,33,4,0,3,19,10,17,19
"CD002115_pub6_data",59,11,16,3,0,11,10,11,11
"CD002122_pub3_data",367,100,98,96,34,39,4,26,39
"CD002203_pub5_data",175,36,58,8,11,12,8,12,11
"CD002243_pub5_data",1084,61,12,0,7,36,17,36,24
"CD002290_pub6_data",229,5,127,0,0,5,4,5,2
"CD002303_pub4_data",15,2,0,0,0,0,0,0,0
"CD002971_pub6_data",73,15,0,0,2,9,8,9,9
"CD003129_pub2_data",19,7,1,0,1,3,2,3,3
"CD003214_pub4_data",8,8,0,0,5,0,0,0,0
"CD003216_pub3_data",62,8,34,0,1,6,5,6,6
"CD003218_pub3_data",18,5,0,0,0,5,5,5,5
"CD003331_pub6_data",155,9,0,0,0,7,4,6,5
"CD003333_pub4_data",15,3,0,0,0,1,0,1,1
"CD003357_pub5_data",34,5,0,0,0,4,0,2,4
"CD003376_pub4_data",276,9,0,0,1,8,8,8,5
"CD003414_pub4_data",135,28,1,0,4,11,4,10,11
"CD003429_pub5_data",33,15,0,0,0,11,9,12,11
"CD003451_pub3_data",83,5,0,0,1,4,4,4,3
"CD003477_pub5_data",158,7,0,0,0,7,7,7,6
"CD003511_pub6_data",48,13,0,0,1,4,2,3,4
"CD003519_pub5_data",329,35,41,111,0,10,0,1,10
"CD003594_pub7_data",171,45,75,0,16,23,12,24,23
"CD003598_pub3_data",650,36,296,0,3,33,29,33,26
"CD003743_pub3_data",35,35,0,0,20,0,0,0,0
"CD003774_pub5_data",761,18,61,0,0,14,14,17,7
"CD003833_pub5_data",36,6,2,0,0,6,5,6,6
"CD003962_pub3_data",239,22,66,0,1,20,16,19,18
"CD004184_pub3_data",186,10,0,0,0,10,7,7,8
"CD004307_pub7_data",157,7,0,0,0,6,1,6,3
"CD004372_pub3_data",4,2,0,0,0,2,2,2,2
"CD004376_pub4_data",1029,6,182,847,0,2,2,2,0
"CD004406_pub6_data",79,9,0,0,1,2,0,1,2
"CD004417_pub6_data",122,6,35,0,1,3,3,4,2
"CD004508_pub5_data",57,16,0,0,0,11,7,11,11
"CD004661_pub4_data",492,26,253,22,1,15,12,13,11
"CD004667_pub6_data",490,20,0,0,1,6,2,6,4
"CD004703_pub3_data",117,5,83,0,0,5,5,5,3
"CD004736_pub6_data",1366,79,342,0,3,73,64,74,63
"CD004762_pub3_data",29,5,0,0,0,5,5,5,5
"CD004871_pub5_data",117,14,12,0,0,13,13,13,13
"CD004904_pub4_data",6,3,0,0,2,1,0,1,1
"CD004925_pub4_data",87,7,0,0,0,4,2,7,3
"CD004953_pub5_data",163,26,2,0,3,23,16,21,23
"CD004992_pub4_data",25,9,0,0,0,6,4,5,6
"CD005133_pub4_data",174,10,0,0,0,10,3,9,9
"CD005187_pub6_data",26,5,0,0,0,1,0,0,1
"CD005343_pub7_data",158,15,0,0,0,14,12,14,13
"CD005495_pub5_data",343,8,1,0,0,7,6,6,3
"CD005566_pub4_data",906,11,36,0,0,11,6,11,2
"CD005582_pub5_data",15,4,0,0,1,3,2,2,3
"CD005595_pub4_data",284,13,57,0,0,13,13,13,10
"CD005951_pub5_data",80,11,0,0,0,7,6,7,7
"CD006023_pub4_data",891,40,419,0,1,38,38,38,29
"CD006027_pub3_data",86,4,7,0,0,4,3,4,3
"CD006124_pub3_data",96,7,30,0,0,7,6,7,7
"CD006140_pub3_data",136,21,32,30,4,6,5,8,6
"CD006182_pub3_data",79,14,29,0,3,8,3,7,8
"CD006185_pub6_data",970,24,0,0,0,23,23,24,10
"CD006214_pub5_data",1,1,0,0,0,0,0,0,0
"CD006257_pub2_data",544,17,195,0,1,16,16,16,12
"CD006273_pub4_data",5,2,2,0,0,1,1,1,1
"CD006404_pub5_data",383,63,0,0,21,32,14,28,29
"CD006475_pub3_data",222,25,0,0,3,10,0,10,10
"CD006515_pub2_data",31,12,0,0,1,8,4,7,8
"CD006536_pub5_data",956,24,79,0,0,23,20,23,14
"CD006606_pub5_data",30,14,0,0,2,2,0,2,2
"CD006632_pub3_data",122,24,0,0,6,18,18,18,18
"CD006689_pub3_data",295,24,87,8,1,21,15,19,21
"CD006712_pub3_data",35,4,9,10,1,3,3,3,3
"CD006714_pub3_data",30,21,0,0,8,2,2,4,2
"CD006742_pub3_data",17,5,0,0,1,4,4,4,4
"CD006839_pub5_data",16,8,0,0,1,1,0,1,1
"CD006913_pub3_data",885,69,125,0,1,57,57,57,48
"CD006919_pub5_data",163,12,91,0,1,8,8,8,7
"CD006942_pub4_data",33,14,0,0,7,3,0,2,3
"CD006982_pub5_data",25,6,0,0,0,5,4,4,5
"CD007024_pub3_data",137,11,20,0,0,6,5,8,6
"CD007026_pub7_data",56,6,0,0,0,5,1,5,5
"CD007079_pub4_data",159,17,10,0,1,12,11,11,12
"CD007110_pub4_data",63,4,0,0,0,4,4,4,4
"CD007130_pub5_data",137,11,1,0,0,9,9,10,9
"CD007156_pub3_data",77,6,0,0,2,3,2,3,2
"CD007310_pub3_data",201,16,13,0,1,12,3,12,12
"CD007374_pub3_data",97,22,12,1,1,17,15,17,17
"CD007388_pub3_data",114,17,0,0,0,17,11,17,17
"CD007491_pub3_data",20,4,0,0,0,4,4,4,4
"CD007569_pub4_data",26,2,0,0,0,2,2,2,2
"CD007572_pub4_data",71,29,0,0,6,5,3,7,5
"CD007639_pub3_data",132,15,17,2,1,13,12,13,13
"CD007674_pub3_data",334,8,129,0,0,7,7,8,1
"CD007693_pub3_data",52,1,0,51,52,0,0,0,0
"CD007784_pub3_data",934,61,3,0,3,57,48,56,57
"CD007809_pub3_data",95,21,17,0,0,14,14,14,14
"CD007837_pub3_data",45,8,1,0,0,8,8,8,8
"CD007859_pub5_data",166,7,2,1,0,5,5,5,2
"CD007872_pub4_data",40,19,0,0,4,10,10,10,10
"CD007895_pub3_data",15,4,0,0,0,4,4,4,4
"CD007896_pub4_data",1526,4,0,0,0,4,4,4,0
"CD008063_pub3_data",179,3,0,0,0,3,3,3,2
"CD008145_pub4_data",85,8,0,0,0,8,8,8,8
"CD008165_pub5_data",47,6,0,0,0,4,4,4,4
"CD008176_pub3_data",891,28,4,0,0,28,18,28,20
"CD008237_pub4_data",25,13,6,0,2,4,3,4,4
"CD008309_pub3_data",160,28,37,0,8,20,20,20,20
"CD008349_pub5_data",588,25,0,0,0,25,25,25,18
"CD008469_pub3_data",50,6,4,1,0,6,6,6,6
"CD008493_pub5_data",118,8,4,0,0,8,4,7,8
"CD008552_pub8_data",226,7,0,0,0,7,7,7,3
"CD008564_pub3_data",281,11,0,0,1,5,3,4,3
"CD008628_pub3_data",68,11,9,0,0,7,6,7,7
"CD008688_pub3_data",19,8,0,0,0,4,3,4,4
"CD008709_pub4_data",353,20,19,0,0,18,11,17,17
"CD008771_pub3_data",42,22,0,0,2,11,11,11,11
"CD008858_pub5_data",157,5,42,0,0,3,3,3,1
"CD008873_pub5_data",58,15,13,0,1,12,8,10,12
"CD008879_pub3_data",48,3,15,0,0,3,2,2,3
"CD008940_pub4_data",189,13,0,0,0,8,8,9,7
"CD008973_pub3_data",62,8,0,0,0,2,2,2,2
"CD008995_pub3_data",5,4,0,0,3,0,0,0,0
"CD009022_pub4_data",71,13,0,0,0,13,9,12,13
"CD009102_pub2_data",29,12,0,0,2,3,2,3,3
"CD009235_pub4_data",831,50,10,0,0,49,45,47,43
"CD009244_pub3_data",27,4,0,0,0,1,1,2,1
"CD009252_pub2_data",96,4,23,0,0,4,4,4,4
"CD009298_pub3_data",333,90,0,11,11,53,33,43,53
"CD009362_pub4_data",132,4,6,0,0,4,2,4,2
"CD009417_pub3_data",38,10,0,0,0,8,5,7,8
"CD009508_pub2_data",78,4,1,0,0,2,2,3,1
"CD009531_pub3_data",136,13,11,1,2,7,6,7,5
"CD009535_pub3_data",84,30,0,0,0,29,27,29,29
"CD009609_pub3_data",52,10,0,40,0,1,0,2,1
"CD009679_pub3_data",176,12,101,0,0,10,10,10,8
"CD009730_pub3_data",158,15,31,0,0,13,13,13,12
"CD009749_pub3_data",124,10,0,0,0,10,2,8,10
"CD009752_pub3_data",80,23,32,0,0,20,19,20,20
"CD009788_pub3_data",32,11,0,0,1,5,4,5,5
"CD009945_pub3_data",7,3,0,0,1,1,0,1,1
"CD010001_pub4_data",243,6,71,0,0,5,5,5,1
"CD010136_pub4_data",23,15,2,0,1,6,6,6,6
"CD010145_pub2_data",138,50,19,0,23,19,14,18,19
"CD010163_pub3_data",5,3,0,0,1,1,0,1,1
"CD010189_pub3_data",44,10,0,0,0,10,10,10,10
"CD010216_pub9_data",221,19,129,0,0,18,18,18,15
"CD010290_pub4_data",146,17,18,0,0,16,10,16,16
"CD010333_pub4_data",8,8,0,0,3,0,0,0,0
"CD010441_pub3_data",32,7,0,0,0,4,3,4,4
"CD010533_pub3_data",83,7,0,0,1,4,4,4,4
"CD010583_pub6_data",65,13,7,0,2,7,4,7,7
"CD010779_pub2_data",20,5,1,0,0,4,4,4,4
"CD010856_pub3_data",81,12,0,0,0,11,11,11,11
"CD010861_pub3_data",196,18,57,60,0,15,14,15,15
"CD010966_pub4_data",1244,25,929,3,5,17,17,17,10
"CD011039_pub2_data",28,10,0,0,1,3,2,3,3
"CD011044_pub3_data",341,10,0,2,0,10,7,10,2
"CD011060_pub2_data",4,4,0,0,4,0,0,0,0
"CD011120_pub3_data",27,3,0,0,0,1,0,1,1
"CD011192_pub4_data",22,22,0,0,22,0,0,0,0
"CD011197_pub3_data",140,20,0,0,0,19,19,19,19
"CD011204_pub3_data",320,10,192,0,0,6,4,5,4
"CD011218_pub2_data",16,4,6,3,3,1,1,1,1
"CD011305_pub3_data",66,22,0,0,2,13,9,14,13
"CD011330_pub2_data",49,20,3,0,2,13,11,13,13
"CD011381_pub3_data",259,11,3,0,0,6,3,6,3
"CD011468_pub2_data",10,4,3,0,1,2,2,2,2
"CD011535_pub7_data",984,102,166,94,1,35,11,34,29
"CD011575_pub3_data",68,21,0,0,1,2,2,2,2
"CD011600_pub3_data",169,27,0,18,8,18,17,17,18
"CD011624_pub3_data",72,44,0,0,14,15,15,15,15
"CD011626_pub3_data",65,7,0,0,0,7,6,7,7
"CD011627_pub3_data",24,12,0,0,5,3,2,3,3
"CD011670_pub3_data",31,8,11,0,1,6,4,6,6
"CD011671_pub3_data",101,11,0,16,16,2,1,3,2
"CD011689_pub4_data",3665,77,8,0,8,53,41,55,24
"CD011762_pub2_data",2017,14,296,0,0,13,11,13,0
"CD011778_pub2_data",205,10,87,0,0,10,10,10,8
"CD011793_pub3_data",115,14,0,0,0,13,10,13,13
"CD011800_pub2_data",12,7,2,0,1,3,3,3,3
"CD011806_pub2_data",104,19,3,0,1,17,17,17,17
"CD011841_pub3_data",113,20,36,0,2,7,7,7,6
"CD011851_pub3_data",74,15,0,0,0,14,12,14,14
"CD011858_pub2_data",74,15,46,0,0,11,10,11,11
"CD011866_pub3_data",157,10,20,0,0,8,8,9,7
"CD011885_pub2_data",173,60,11,0,5,31,14,20,31
"CD012067_pub3_data",416,24,185,0,1,22,21,22,18
"CD012079_pub2_data",567,24,8,0,0,24,17,24,19
"CD012152_pub4_data",63,35,0,0,6,7,4,6,7
"CD012170_pub2_data",59,3,0,0,0,3,3,3,2
"CD012178_pub2_data",24,6,0,0,0,4,1,1,4
"CD012186_pub2_data",202,2,0,0,0,2,2,2,0
"CD012214_pub3_data",25,5,0,0,0,3,3,4,3
"CD012265_pub2_data",4,4,0,0,1,0,0,0,0
"CD012268_pub2_data",207,12,0,0,0,12,12,12,12
"CD012335_pub2_data",41,27,0,24,7,6,1,5,6
"CD012397_pub2_data",25,12,0,2,7,3,2,2,3
"CD012426_pub2_data",27,5,0,4,0,1,0,2,1
"CD012429_pub2_data",105,26,16,0,3,18,5,14,18
"CD012445_pub2_data",46,10,0,0,0,10,10,10,10
"CD012503_pub3_data",316,11,259,0,0,11,11,11,7
"CD012532_pub2_data",14,2,0,0,0,2,2,2,2
"CD012570_pub2_data",49,7,0,0,0,4,2,4,4
"CD012572_pub3_data",45,13,0,0,2,9,6,9,9
"CD012586_pub2_data",582,26,238,0,1,21,16,18,15
"CD012594_pub2_data",2,1,0,0,0,0,0,0,0
"CD012609_pub2_data",28,6,0,0,0,1,0,1,1
"CD012623_pub2_data",31,2,0,0,0,1,1,2,1
"CD012635_pub2_data",52,26,0,2,13,8,3,6,8
"CD012642_pub2_data",108,11,24,0,0,7,5,9,7
"CD012693_pub3_data",482,34,12,37,1,28,21,19,28
"CD012712_pub2_data",515,20,214,0,0,20,16,19,14
"CD012718_pub2_data",65,10,8,11,2,6,6,4,6
"CD012757_pub2_data",24,10,0,0,1,0,0,3,0
"CD012850_pub2_data",104,28,33,0,0,27,27,27,27
"CD012886_pub3_data",50,22,2,48,2,0,0,0,0
