"dataset_name","n_rows","n_cols","n_analyses","n_subgroups","has_binary_cols","has_continuous_cols","binary_complete_rows","continuous_complete_rows"
"CD000028_pub4_data",163,27,13,3,TRUE,TRUE,163,0
"CD000143_pub2_data",80,26,8,1,TRUE,TRUE,80,80
"CD000219_pub5_data",71,26,6,1,TRUE,TRUE,71,71
"CD000478_pub5_data",42,38,4,1,TRUE,TRUE,42,42
"CD000547_pub3_data",282,26,12,1,TRUE,TRUE,282,282
"CD001072_pub2_data",3,27,3,1,TRUE,TRUE,3,3
"CD001155_pub3_data",977,26,10,1,TRUE,TRUE,977,977
"CD001321_pub7_data",155,26,5,1,TRUE,TRUE,155,155
"CD001396_pub4_data",387,26,20,1,TRUE,TRUE,387,387
"CD001431_pub6_data",1479,26,6,1,TRUE,TRUE,1479,1479
"CD001533_pub7_data",217,26,7,1,TRUE,TRUE,217,217
"CD001552_pub3_data",78,38,11,1,TRUE,TRUE,78,78
"CD001703_pub4_data",119,26,27,1,TRUE,TRUE,119,119
"CD001797_pub4_data",44,26,10,1,TRUE,TRUE,44,44
"CD001837_pub4_data",144,26,4,1,TRUE,TRUE,144,144
"CD001909_pub4_data",133,26,7,1,TRUE,TRUE,133,133
"CD001920_pub4_data",1427,38,11,1,TRUE,TRUE,1427,1427
"CD002042_pub6_data",912,27,80,11,TRUE,TRUE,889,23
"CD002052_pub4_data",37,27,12,1,TRUE,TRUE,37,37
"CD002112_pub2_data",233,27,33,9,TRUE,TRUE,233,233
"CD002115_pub6_data",59,26,11,1,TRUE,TRUE,59,59
"CD002122_pub3_data",367,27,100,26,TRUE,TRUE,271,96
"CD002203_pub5_data",175,26,36,1,TRUE,TRUE,175,175
"CD002243_pub5_data",1084,27,61,9,TRUE,TRUE,1084,1084
"CD002290_pub6_data",229,26,5,1,TRUE,TRUE,229,229
"CD002303_pub4_data",15,26,2,1,TRUE,TRUE,15,15
"CD002971_pub6_data",73,26,15,1,TRUE,TRUE,73,73
"CD003129_pub2_data",19,26,7,1,TRUE,TRUE,19,19
"CD003214_pub4_data",8,26,8,1,TRUE,TRUE,8,8
"CD003216_pub3_data",62,38,8,1,TRUE,TRUE,62,62
"CD003218_pub3_data",18,26,5,1,TRUE,TRUE,18,18
"CD003331_pub6_data",155,26,9,1,TRUE,TRUE,155,155
"CD003333_pub4_data",15,27,3,1,TRUE,TRUE,15,15
"CD003357_pub5_data",34,26,5,1,TRUE,TRUE,34,34
"CD003376_pub4_data",276,26,9,1,TRUE,TRUE,276,276
"CD003414_pub4_data",135,27,28,6,TRUE,TRUE,135,135
"CD003429_pub5_data",33,27,15,4,TRUE,TRUE,33,33
"CD003451_pub3_data",83,26,5,1,TRUE,TRUE,83,83
"CD003477_pub5_data",158,26,7,1,TRUE,TRUE,158,158
"CD003511_pub6_data",48,27,13,4,TRUE,TRUE,48,48
"CD003519_pub5_data",329,27,35,3,TRUE,TRUE,218,111
"CD003594_pub7_data",171,27,45,11,TRUE,TRUE,171,171
"CD003598_pub3_data",650,26,36,1,TRUE,TRUE,650,650
"CD003743_pub3_data",35,27,35,7,TRUE,TRUE,35,35
"CD003774_pub5_data",761,26,18,1,TRUE,TRUE,761,761
"CD003833_pub5_data",36,26,6,1,TRUE,TRUE,36,36
"CD003962_pub3_data",239,26,22,1,TRUE,TRUE,239,239
"CD004184_pub3_data",186,26,10,1,TRUE,TRUE,186,186
"CD004307_pub7_data",157,27,7,3,TRUE,TRUE,157,157
"CD004372_pub3_data",4,38,2,1,TRUE,TRUE,4,4
"CD004376_pub4_data",1029,26,6,1,TRUE,TRUE,182,847
"CD004406_pub6_data",79,26,9,1,TRUE,TRUE,79,79
"CD004417_pub6_data",122,26,6,1,TRUE,TRUE,122,122
"CD004508_pub5_data",57,26,16,1,TRUE,TRUE,57,57
"CD004661_pub4_data",492,26,26,1,TRUE,TRUE,492,492
"CD004667_pub6_data",490,26,20,1,TRUE,TRUE,490,490
"CD004703_pub3_data",117,26,5,1,TRUE,TRUE,117,117
"CD004736_pub6_data",1366,26,79,1,TRUE,TRUE,1366,1366
"CD004762_pub3_data",29,26,5,1,TRUE,TRUE,29,29
"CD004871_pub5_data",117,26,14,1,TRUE,TRUE,117,117
"CD004904_pub4_data",6,26,3,1,TRUE,TRUE,6,6
"CD004925_pub4_data",87,26,7,1,TRUE,TRUE,87,87
"CD004953_pub5_data",163,27,26,4,TRUE,TRUE,163,163
"CD004992_pub4_data",25,26,9,1,TRUE,TRUE,25,25
"CD005133_pub4_data",174,26,10,1,TRUE,TRUE,174,174
"CD005187_pub6_data",26,26,5,1,TRUE,TRUE,26,26
"CD005343_pub7_data",158,26,15,1,TRUE,TRUE,158,158
"CD005495_pub5_data",343,26,8,1,TRUE,TRUE,343,343
"CD005566_pub4_data",906,26,11,1,TRUE,TRUE,906,906
"CD005582_pub5_data",15,26,4,1,TRUE,TRUE,15,15
"CD005595_pub4_data",284,26,13,1,TRUE,TRUE,284,284
"CD005951_pub5_data",80,26,11,1,TRUE,TRUE,80,80
"CD006023_pub4_data",891,27,40,3,TRUE,TRUE,891,891
"CD006027_pub3_data",86,26,4,1,TRUE,TRUE,86,86
"CD006124_pub3_data",96,26,7,1,TRUE,TRUE,96,96
"CD006140_pub3_data",136,27,21,1,TRUE,TRUE,106,33
"CD006182_pub3_data",79,27,14,2,TRUE,TRUE,79,79
"CD006185_pub6_data",970,27,24,6,TRUE,TRUE,970,970
"CD006214_pub5_data",1,26,1,1,TRUE,TRUE,1,1
"CD006257_pub2_data",544,26,17,1,TRUE,TRUE,544,544
"CD006273_pub4_data",5,25,2,1,TRUE,TRUE,5,5
"CD006404_pub5_data",383,27,63,42,TRUE,TRUE,383,0
"CD006475_pub3_data",222,39,25,3,TRUE,TRUE,222,222
"CD006515_pub2_data",31,26,12,1,TRUE,TRUE,31,31
"CD006536_pub5_data",956,26,24,1,TRUE,TRUE,956,956
"CD006606_pub5_data",30,38,14,1,TRUE,TRUE,30,30
