dataset,outcome_type,k,total_n,avg_n_per_study,p_control,effect_logOR,se,pval,I2,tau2,OIS,information_fraction,het_adj_power,z_score,sequential_status,IAI,IAI_class,significant
CD000028_pub4_data,binary,163,309371,1898,0.0724,-0.2605,0.034,1.77363763494165e-14,72.9,0.103,33808,9.151,1,-7.666,conclusive_harm,0.95,Adequate,TRUE
CD000143_pub2_data,binary,80,6010,75.1,0.384,-0.5342,0.1041,2.91047562450672e-07,63.8,0.4931,3335,1.802,0.999,-5.129,conclusive_harm,0.8828,Adequate,TRUE
CD000219_pub5_data,binary,71,19358,272.6,0.2646,-0.1824,0.0672,0.00668469735052458,61.9,0.1621,5354,3.616,0.774,-2.712,conclusive_harm,0.8801,Adequate,TRUE
CD000478_pub5_data,binary,42,1838,43.8,0.4035,-0.6611,0.1367,1.33563075637152e-06,8,0.06,1216,1.512,0.998,-4.834,conclusive_harm,0.8437,Adequate,TRUE
CD000547_pub3_data,binary,282,32149,114,0.0993,0.442,0.089,6.80309499605338e-07,59.8,0.9286,16201,1.984,0.999,4.967,conclusive_benefit,0.9006,Adequate,TRUE
CD001072_pub2_data,binary,3,96,32,0.2593,0.5056,1.3083,0.699153820543767,81.6,4.0605,11369,0.008,0.058,0.386,continue,0.1757,Critical,FALSE
CD001155_pub3_data,binary,977,543739,556.5,0.058,-0.1965,0.022,3.92996652327754e-19,31.6,0.077,16945,32.088,1,-8.939,conclusive_harm,0.95,Adequate,TRUE
CD001321_pub7_data,binary,155,34697,223.9,0.2389,-0.3831,0.0496,1.06872635785585e-14,53.8,0.155,5045,6.877,1,-7.731,conclusive_harm,0.95,Adequate,TRUE
CD001396_pub4_data,binary,387,47553,122.9,0.1003,0.7273,0.0417,2.94735512099897e-68,15.2,0.085,7578,6.275,1,17.459,conclusive_benefit,0.95,Adequate,TRUE
CD001431_pub6_data,binary,1479,403359,272.7,0.1863,0.17,0.0311,4.59222871107675e-08,77.5,0.5456,14055,28.699,1,5.466,conclusive_benefit,0.9499,Adequate,TRUE
CD001533_pub7_data,binary,217,20188,93,0.3617,-0.4422,0.063,2.22659996188942e-12,53.1,0.3565,2819,7.161,1,-7.02,conclusive_harm,0.95,Adequate,TRUE
CD001552_pub3_data,binary,78,6962,89.3,0.1352,0.0917,0.1962,0.640260503020041,44.4,0.8772,8280,0.841,0.068,0.467,futile,0.3788,Inadequate,FALSE
CD001703_pub4_data,binary,119,15418,129.6,0.0831,0.4796,0.0774,5.75243106669594e-10,0,0,7898,1.952,1,6.197,conclusive_benefit,0.8982,Adequate,TRUE
CD001797_pub4_data,binary,43,2231,51.9,0.1145,0.5429,0.1989,0.00634597155920049,31.8,0.413,8140,0.274,0.779,2.729,continue,0.4196,Inadequate,TRUE
CD001837_pub4_data,binary,144,56873,395,0.1937,0.3177,0.0316,8.3220960571472e-24,40.6,0.0464,5085,11.185,1,10.06,conclusive_benefit,0.95,Adequate,TRUE
CD001909_pub4_data,binary,133,17596,132.3,0.1381,0.6222,0.0752,1.30929977878935e-16,51.2,0.2875,9216,1.909,1,8.273,conclusive_benefit,0.8942,Adequate,TRUE
CD002042_pub6_data,binary,889,495372,557.2,0.2435,-0.5498,0.049,3.17556053266255e-29,93.9,1.4158,37433,13.234,1,-11.222,conclusive_harm,0.95,Adequate,TRUE
CD002052_pub4_data,binary,37,2014,54.4,0.1329,0.5014,0.1833,0.006225700428101,15.6,0.1722,5564,0.362,0.781,2.736,continue,0.4316,Inadequate,TRUE
CD002112_pub2_data,binary,233,19347,83,0.2272,0.2923,0.0705,3.34513906439325e-05,48.6,0.4136,4829,4.006,0.986,4.149,conclusive_benefit,0.9447,Adequate,TRUE
CD002115_pub6_data,binary,56,4231,75.6,0.083,0.5778,0.1992,0.0037272555499995,13.7,0.2466,9161,0.462,0.826,2.9,continue,0.4596,Inadequate,TRUE
CD002122_pub3_data,binary,271,32071,118.3,0.2626,-0.1107,0.0783,0.157320831484478,71.8,0.9499,7316,4.384,0.293,-1.414,continue,0.5973,Marginal,FALSE
CD002203_pub5_data,binary,167,24366,145.9,0.1664,-0.0512,0.0692,0.45928266852147,45,0.2516,6589,3.698,0.111,-0.74,futile,0.6216,Marginal,FALSE
CD002243_pub5_data,binary,1084,381064,351.5,0.2331,-0.1304,0.0161,5.07262439175941e-16,44.9,0.071,4364,87.31,1,-8.11,conclusive_harm,0.95,Adequate,TRUE
CD002290_pub6_data,binary,229,14502,63.3,0.3428,-0.7116,0.0933,2.35941039730508e-14,66,1.0432,4200,3.453,1,-7.629,conclusive_harm,0.9471,Adequate,TRUE
CD002303_pub4_data,binary,15,3369,224.6,0.3075,0.0686,0.2514,0.785004653093671,86.5,0.7713,12302,0.274,0.046,0.273,continue,0.1996,Critical,FALSE
CD002971_pub6_data,binary,73,16870,231.1,0.079,-0.0222,0.0619,0.720085393285691,0,0,8340,2.023,0.055,-0.358,futile,0.5606,Marginal,FALSE
CD003129_pub2_data,binary,19,2365,124.5,0.1131,0.5518,0.1446,0.000136153754286476,0,0,5634,0.42,0.968,3.815,conclusive_benefit,0.6359,Marginal,TRUE
CD003214_pub4_data,binary,8,1384,173,0.1657,-0.1252,0.1663,0.451619770371018,0,0,3640,0.38,0.114,-0.753,continue,0.2339,Critical,FALSE
CD003216_pub3_data,binary,62,10000,161.3,0.1023,0.0996,0.1057,0.346087182530684,14.7,0.0725,7375,1.356,0.154,0.942,futile,0.5047,Marginal,FALSE
